r [m],m,root_index,omega_real [rad/s],omega_imag [rad/s],omega_hat_real,omega_hat_imag,is_real
500000.0,-10,7,0.0015903653950577596,0.0,15.903653950577596,0.0,1
500000.0,-9,0,-0.0014775217358188937,0.0,-14.775217358188938,0.0,1
500000.0,-9,1,-8.975129274049856e-05,0.0,-0.8975129274049857,0.0,1
500000.0,-9,2,-1.0250800542662883e-05,0.0,-0.10250800542662883,0.0,1
500000.0,-9,3,-5.155553217818201e-07,-3.0582431223562466e-05,-0.005155553217818201,-0.3058243122356247,0
500000.0,-9,4,-5.155553217818201e-07,3.0582431223562466e-05,-0.005155553217818201,0.3058243122356247,0
500000.0,-9,5,1.0742551568433262e-05,0.0,0.10742551568433262,0.0,1
500000.0,-9,6,8.925937524544913e-05,0.0,0.8925937524544912,0.0,1
500000.0,-9,7,0.0014785530129317367,0.0,14.785530129317367,0.0,1
500000.0,-8,0,-0.0013697279738443095,0.0,-13.697279738443095,0.0,1
500000.0,-8,1,-8.975999073616598e-05,0.0,-0.8975999073616597,0.0,1
500000.0,-8,2,-1.0242254458368824e-05,0.0,-0.10242254458368824,0.0,1
500000.0,-8,3,-5.333036106445407e-07,-3.057110440061768e-05,-0.005333036106445407,-0.30571104400617677,0
500000.0,-8,4,-5.333036106445407e-07,3.057110440061768e-05,-0.005333036106445407,0.30571104400617677,0
500000.0,-8,5,1.0751166446747018e-05,0.0,0.10751166446747018,0.0,1
500000.0,-8,6,8.925089417830322e-05,0.0,0.8925089417830322,0.0,1
500000.0,-8,7,0.001370794765635083,0.0,13.707947656350829,0.0,1
500000.0,-7,0,-0.0012670320070260672,0.0,-12.670320070260672,0.0,1
500000.0,-7,1,-8.976601029270086e-05,0.0,-0.8976601029270086,0.0,1
500000.0,-7,2,-1.0236343243570361e-05,0.0,-0.10236343243570362,0.0,1
500000.0,-7,3,-5.454416334565303e-07,-3.055743602662253e-05,-0.005454416334565303,-0.3055743602662253,0
500000.0,-7,4,-5.454416334565303e-07,3.055743602662253e-05,-0.005454416334565303,0.3055743602662253,0
500000.0,-7,5,1.0757125719183694e-05,0.0,0.10757125719183694,0.0,1
500000.0,-7,6,8.924502995787654e-05,0.0,0.8924502995787654,0.0,1
500000.0,-7,7,0.0012681230881521914,0.0,12.681230881521914,0.0,1
500000.0,-6,0,-0.0011707781060259757,0.0,-11.707781060259757,0.0,1
500000.0,-6,1,-8.976727105730904e-05,0.0,-0.8976727105730904,0.0,1
500000.0,-6,2,-1.0235105520119741e-05,0.0,-0.10235105520119742,0.0,1
500000.0,-6,3,-5.476800416755576e-07,-3.05411106570017e-05,-0.005476800416755576,-0.305411106570017,0
500000.0,-6,4,-5.476800416755576e-07,3.05411106570017e-05,-0.005476800416755576,0.305411106570017,0
500000.0,-6,5,1.07583717022877e-05,0.0,0.10758371702287699,0.0,1
500000.0,-6,6,8.924380408960786e-05,0.0,0.8924380408960786,0.0,1
500000.0,-6,7,0.0011718736668948602,0.0,11.718736668948603,0.0,1
500000.0,-5,0,-0.0010826884287934988,0.0,-10.826884287934988,0.0,1
500000.0,-5,1,-8.976077622367043e-05,0.0,-0.8976077622367044,0.0,1
500000.0,-5,2,-1.0241483015215133e-05,0.0,-0.10241483015215133,0.0,1
500000.0,-5,3,-5.338556325048276e-07,-3.052203837694086e-05,-0.005338556325048276,-0.3052203837694086,0
