m,root_index,real_omega,imag_omega,real_omega_over_Omega,imag_omega_over_Omega,abs_residual,normalized_residual,root_class
9,2,-9.099239270515677635e-05,0.000000000000000000e+00,-1.819847854103135543e+00,0.000000000000000000e+00,4.159164002786348226e-45,1.873120945312123272e-29,real_negative
9,3,9.157819988441305407e-05,0.000000000000000000e+00,1.831563997688260947e+00,0.000000000000000000e+00,8.722193444326467584e-46,3.928126714572174717e-30,real_positive
9,4,7.559896094509742572e-07,2.811756606180857720e-05,1.511979218901948405e-02,5.623513212361714864e-01,1.302794023919463073e-47,5.867262680664202949e-32,complex_unstable
9,5,7.559896094509742572e-07,-2.811756606180857720e-05,1.511979218901948405e-02,-5.623513212361714864e-01,1.302794023919463073e-47,5.867262680664202949e-32,complex_damped
9,6,-9.011059206683833881e-06,0.000000000000000000e+00,-1.802211841336766596e-01,0.000000000000000000e+00,2.565854121688507820e-49,1.155557966632341512e-33,real_negative
9,7,8.425699017112605192e-06,0.000000000000000000e+00,1.685139803422520954e-01,0.000000000000000000e+00,2.565854121688507820e-49,1.155557966632341512e-33,real_positive
10,0,1.286008998663465235e-03,0.000000000000000000e+00,2.572017997326930328e+01,0.000000000000000000e+00,7.565869567853540270e-39,3.407364505729322946e-23,real_positive
10,1,-1.287521072494736147e-03,0.000000000000000000e+00,-2.575042144989472348e+01,0.000000000000000000e+00,6.453444110042099468e-39,2.906372650330161502e-23,real_negative
10,2,9.157799240174492269e-05,0.000000000000000000e+00,1.831559848034898463e+00,0.000000000000000000e+00,4.459454463494626592e-46,2.008359746006991681e-30,real_positive
10,3,-9.099258988977045211e-05,0.000000000000000000e+00,-1.819851797795408954e+00,0.000000000000000000e+00,1.826717077700771668e-45,8.226802350444445204e-30,real_negative
10,4,7.558139312873617063e-07,2.812704805745955218e-05,1.511627862574723390e-02,5.625409611491910544e-01,3.962331990968617551e-48,1.784475687804446152e-32,complex_unstable
10,5,7.558139312873617063e-07,-2.812704805745955218e-05,1.511627862574723390e-02,-5.625409611491910544e-01,3.962331990968617551e-48,1.784475687804446152e-32,complex_damped
10,6,-9.010857452954728757e-06,0.000000000000000000e+00,-1.802171490590945557e-01,0.000000000000000000e+00,4.276423536147513034e-48,1.925929944387235853e-32,real_negative
10,7,8.425900909676395506e-06,0.000000000000000000e+00,1.685180181935279076e-01,0.000000000000000000e+00,3.421138828918010427e-49,1.540743955509788682e-33,real_positive
11,0,1.355306139861398636e-03,0.000000000000000000e+00,2.710612279722797169e+01,0.000000000000000000e+00,9.015022897827176786e-39,4.060004957842190601e-23,real_positive
11,1,-1.356803569130878018e-03,0.000000000000000000e+00,-2.713607138261755836e+01,0.000000000000000000e+00,3.429759536160603398e-39,1.544626216451633893e-23,real_negative
11,2,9.157497659024931643e-05,0.000000000000000000e+00,1.831499531804986258e+00,0.000000000000000000e+00,2.560209242620793103e-45,1.153015739105738870e-29,real_positive
11,3,-9.099548242095515836e-05,0.000000000000000000e+00,-1.819909648419103076e+00,0.000000000000000000e+00,3.328083852771440543e-45,1.498835719919908137e-29,real_negative
11,4,7.484983694454127238e-07,2.813548511027721589e-05,1.496996738890825351e-02,5.627097022055442821e-01,1.558737313820846354e-47,7.019928785692051523e-32,complex_unstable
11,5,7.484983694454127238e-07,-2.813548511027721589e-05,1.496996738890825351e-02,-5.627097022055442821e-01,1.558737313820846354e-47,7.019928785692051523e-32,complex_damped
11,6,-9.007897910257408247e-06,0.000000000000000000e+00,-1.801579582051481554e-01,0.000000000000000000e+00,6.842277657836020854e-49,3.081487911019577365e-33,real_negative
11,7,8.428836271551910206e-06,0.000000000000000000e+00,1.685767254310381880e-01,0.000000000000000000e+00,1.197398590121303649e-48,5.392603844284260389e-33,real_positive
12,0,1.427355109276836004e-03,0.000000000000000000e+00,2.854710218553671908e+01,0.000000000000000000e+00,6.751417761508765358e-39,3.040567777396263852e-23,real_positive
12,1,-1.428827832368045284e-03,0.000000000000000000e+00,-2.857655664736090273e+01,0.000000000000000000e+00,6.857455649213787308e-39,3.088322985621100257e-23,real_negative
12,2,9.156999147740351830e-05,0.000000000000000000e+00,1.831399829548070235e+00,0.000000000000000000e+00,2.910020687877659669e-45,1.310556808556611960e-29,real_positive
